食品名,P,F,C
＜でん粉・でん粉製品＞　でん粉製品　くずきり　ゆで,0.1 ,0.1 ,32.5 
＜でん粉・でん粉製品＞　でん粉製品　ごま豆腐,1.5 ,4.3 ,8.9 
＜でん粉・でん粉製品＞　でん粉製品　タピオカパール　乾,0,0.2 ,87.4 
＜でん粉・でん粉製品＞　でん粉製品　タピオカパール　ゆで,0,0.0 ,15.1 
＜でん粉・でん粉製品＞　でん粉製品　でん粉めん　生,0.1 ,0.2 ,31.4 
＜でん粉・でん粉製品＞　でん粉製品　でん粉めん　乾,0.2 ,0.3 ,84.9 
＜でん粉・でん粉製品＞　でん粉製品　でん粉めん　乾　ゆで,0,0.2 ,20.0
＜でん粉・でん粉製品＞　でん粉製品　はるさめ　緑豆はるさめ　乾,0.2 ,0.4 ,83.4 
＜でん粉・でん粉製品＞　でん粉製品　はるさめ　緑豆はるさめ　ゆで,0.0 ,0.1 ,19.1 
＜でん粉・でん粉製品＞　でん粉製品　はるさめ　普通はるさめ　乾,0,0.2 ,85.4 
＜でん粉・でん粉製品＞　でん粉製品　はるさめ　普通はるさめ　ゆで,0,0.0 ,19.1 
砂糖類　黒砂糖,1.7 ,0.0 ,91.3 
砂糖類　てんさい含蜜糖,0.9 ,0.0 ,88.7 
砂糖類　和三盆糖,0.2 ,0.0 ,99.0
砂糖類　車糖　上白糖,0.0 ,0.0 ,99.3 
砂糖類　車糖　三温糖,0.0 ,0.0 ,99.0
砂糖類　ざらめ糖　グラニュー糖,0.0 ,0.0 ,100.0 
砂糖類　ざらめ糖　白ざら糖,0.0 ,0.0 ,100.0 
砂糖類　ざらめ糖　中ざら糖,0.0 ,0.0 ,100.0 
砂糖類　加工糖　角砂糖,0.0 ,0.0 ,100.0 
砂糖類　加工糖　氷砂糖,0.0 ,0.0 ,100.0 
砂糖類　加工糖　コーヒーシュガー,0.1 ,0.0 ,99.8 
砂糖類　加工糖　粉糖,0.0 ,0.0 ,99.7 
砂糖類　液糖　しょ糖型液糖,0.0 ,0.0 ,67.9 
砂糖類　液糖　転化型液糖,0.0 ,0.0 ,76.6 
砂糖類　氷糖みつ,0.2 ,0.0 ,68.2 
でん粉糖類　還元麦芽糖,0,0.0 ,0.7 
でん粉糖類　還元水あめ,0,0.0 ,-
でん粉糖類　粉あめ,0.0 ,0.0 ,97.0
でん粉糖類　水あめ　酵素糖化,0.0 ,0.0 ,85.0
でん粉糖類　水あめ　酸糖化,0.0 ,0.0 ,85.0
でん粉糖類　ぶどう糖　全糖,0.0 ,0.0 ,91.0
でん粉糖類　ぶどう糖　含水結晶,0.0 ,0.0 ,91.3 
でん粉糖類　ぶどう糖　無水結晶,0.0 ,0.0 ,99.7 
でん粉糖類　果糖,0.0 ,0.0 ,99.9 
でん粉糖類　異性化液糖　ぶどう糖果糖液糖,0,0,75.0
でん粉糖類　異性化液糖　果糖ぶどう糖液糖,0,0,75.0
でん粉糖類　異性化液糖　高果糖液糖,0,0,75.0
その他　黒蜜,1.0,0,50.5 
その他　はちみつ,0.3 ,0.0 ,81.7 
その他　メープルシロップ,0.1 ,0,66.3 
あずき　全粒　乾,20.8 ,2.0,37.7 
あずき　全粒　ゆで,8.6 ,0.8 ,14.9 
あずき　ゆで小豆缶詰,4.4 ,0.4 ,46.8 
あずき　あん　こし生あん,9.8 ,0.6 ,22.0
あずき　あん　さらしあん　乾燥あん,23.5 ,1.0,43.8 
あずき　あん　こし練りあん　並あん,5.6 ,0.3 ,55.8 
あずき　あん　こし練りあん　中割りあん,5.1 ,0.3 ,58.5 
あずき　あん　こし練りあん　もなかあん,5.1 ,0.3 ,66.0 
あずき　あん　つぶし練りあん,5.6 ,0.6 ,49.4 
いんげんまめ　全粒　乾,22.1 ,2.5 ,42.3 
いんげんまめ　全粒　ゆで,9.3 ,1.2 ,13.5 
いんげんまめ　うずら豆,6.7 ,1.3 ,45.0
いんげんまめ　こし生あん,9.4 ,0.9 ,20.9 
いんげんまめ　豆きんとん,4.9 ,0.5 ,52.7 
えんどう　全粒　青えんどう　乾,21.7 ,2.3 ,47.8 
えんどう　全粒　青えんどう　ゆで,9.2 ,1.0,19.7 
えんどう　全粒　赤えんどう　乾,21.7 ,2.3 ,47.8 
えんどう　全粒　赤えんどう　ゆで,9.2 ,1.0,19.7 
えんどう　グリンピース揚げ豆,20.8 ,11.6 ,45.2 
えんどう　塩豆,23.3 ,2.4 ,49.0
えんどう　うぐいす豆,5.6 ,0.7 ,49.1 
ささげ　全粒　乾,23.9 ,2.0,41.5 
ささげ　全粒　ゆで,10.2 ,0.9 ,15.4 
そらまめ　全粒　乾,26.0,2.0,52.8 
そらまめ　フライビーンズ,24.7 ,20.8 ,38.4 
そらまめ　おたふく豆,7.9 ,1.2 ,48.7 
そらまめ　ふき豆,9.6 ,1.6 ,50.7 
そらまめ　しょうゆ豆,9.8 ,0.9 ,27.4 
だいず　［全粒・全粒製品］　全粒　青大豆　国産　乾,33.5 ,19.3 ,12.9 
だいず　［全粒・全粒製品］　全粒　青大豆　国産　ゆで,15.0,8.2 ,3.5 
だいず　［全粒・全粒製品］　全粒　黄大豆　国産　乾,33.8 ,19.7 ,8.3 
だいず　［全粒・全粒製品］　全粒　黄大豆　国産　ゆで,14.8 ,9.8 ,0.8 
だいず　［全粒・全粒製品］　全粒　黄大豆　米国産　乾,33.0,21.7 ,16.7 
だいず　［全粒・全粒製品］　全粒　黄大豆　中国産　乾,32.8 ,19.5 ,18.4 
だいず　［全粒・全粒製品］　全粒　黄大豆　ブラジル産　乾,33.6 ,22.6 ,18.6 
だいず　［全粒・全粒製品］　全粒　黒大豆　国産　乾,33.9 ,18.8 ,11.3 
だいず　［全粒・全粒製品］　全粒　黒大豆　国産　ゆで,14.7 ,8.6 ,2.6 
だいず　［全粒・全粒製品］　いり大豆　青大豆,37.7 ,20.7 ,17.5 
だいず　［全粒・全粒製品］　いり大豆　黄大豆,37.5 ,21.6 ,15.9 
