食品名,P,F,C
＜魚類＞　あじ類　にしまあじ　水煮,21.7 ,8.8 ,4.7 
＜魚類＞　あじ類　にしまあじ　焼き,24.7 ,10.4 ,4.8 
＜魚類＞　あじ類　むろあじ　生,23.6 ,6.9 ,6.6 
＜魚類＞　あじ類　むろあじ　焼き,29.7 ,6.2 ,7.8 
＜魚類＞　あじ類　むろあじ　開き干し,22.9 ,6.2 ,5.6 
＜魚類＞　あじ類　むろあじ　くさや,49.9 ,3.0,1.3 
＜魚類＞　あなご　生,17.3 ,9.3 ,4.2 
＜魚類＞　あなご　蒸し,17.6 ,12.7 ,5.6 
＜魚類＞　あまご　養殖　生,18.3 ,3.6 ,0.9 
＜魚類＞　あまだい　生,18.8 ,3.6 ,3.9 
＜魚類＞　あまだい　水煮,20.7 ,4.0,4.7 
＜魚類＞　あまだい　焼き,22.5 ,2.6 ,4.5 
＜魚類＞　あゆ　天然　生,18.3 ,2.4 ,3.9 
＜魚類＞　あゆ　天然　焼き,26.6 ,6.8 ,9.2 
＜魚類＞　あゆ　天然　内臓　生,9.5 ,17.5 ,3.6 
＜魚類＞　あゆ　天然　内臓　焼き,23.0,10.1 ,3.0
＜魚類＞　あゆ　養殖　生,17.8 ,7.9 ,5.1 
＜魚類＞　あゆ　養殖　焼き,22.6 ,15.1 ,10.7 
＜魚類＞　あゆ　養殖　内臓　生,7.4 ,55.0,8.5 
＜魚類＞　あゆ　養殖　内臓　焼き,15.2 ,52.3 ,7.1 
＜魚類＞　あゆ　うるか,11.4 ,13.1 ,4.6 
＜魚類＞　アラスカめぬけ　生,17.2 ,3.4 ,3.8 
＜魚類＞　あんこう　生,13.0,0.2 ,2.7 
＜魚類＞　あんこう　きも　生,10.0,41.9 ,9.3 
＜魚類＞　いかなご　生,17.2 ,5.5 ,4.8 
＜魚類＞　いかなご　煮干し,43.1 ,6.1 ,13.1 
＜魚類＞　いかなご　つくだ煮,29.4 ,4.6 ,32.9 
＜魚類＞　いかなご　あめ煮,25.6 ,3.7 ,37.9 
＜魚類＞　いさき　生,17.2 ,5.7 ,4.0
＜魚類＞　いしだい　生,19.5 ,7.8 ,5.5 
＜魚類＞　いとよりだい　生,18.1 ,1.7 ,3.3 
＜魚類＞　いとよりだい　すり身,16.7 ,0.4 ,5.2 
＜魚類＞　いぼだい　生,16.4 ,8.5 ,4.9 
＜魚類＞　いわし類　うるめいわし　生,21.3 ,4.8 ,4.4 
＜魚類＞　いわし類　うるめいわし　丸干し,45.0,5.1 ,8.8 
＜魚類＞　いわし類　かたくちいわし　生,18.2 ,12.1 ,5.7 
＜魚類＞　いわし類　かたくちいわし　煮干し,64.5 ,6.2 ,15.2 
＜魚類＞　いわし類　かたくちいわし　田作り,66.6 ,5.7 ,15.2 
＜魚類＞　いわし類　まいわし　生,19.2 ,9.2 ,6.3 
＜魚類＞　いわし類　まいわし　水煮,22.4 ,8.7 ,11.5 
＜魚類＞　いわし類　まいわし　焼き,25.3 ,9.4 ,12.2 
＜魚類＞　いわし類　まいわし　フライ,20.0,30.3 ,17.0
＜魚類＞　いわし類　まいわし　塩いわし,16.8 ,9.6 ,5.6 
＜魚類＞　いわし類　まいわし　生干し,20.6 ,16.0,7.4 
＜魚類＞　いわし類　まいわし　丸干し,32.8 ,5.5 ,7.4 
＜魚類＞　いわし類　めざし　生,18.2 ,18.9 ,11.5 
＜魚類＞　いわし類　めざし　焼き,23.7 ,15.0,11.4 
＜魚類＞　いわし類　しらす　生,15.0,1.3 ,3.3 
＜魚類＞　いわし類　しらす　釜揚げしらす,17.6 ,1.7 ,1.1 
＜魚類＞　いわし類　しらす干し　微乾燥品,24.5 ,2.1 ,6.0
＜魚類＞　いわし類　しらす干し　半乾燥品,40.5 ,3.5 ,9.6 
＜魚類＞　いわし類　たたみいわし,75.1 ,5.6 ,16.9 
＜魚類＞　いわし類　みりん干し　かたくちいわし,44.3 ,7.0,27.0
＜魚類＞　いわし類　みりん干し　まいわし,31.4 ,15.7 ,19.9 
＜魚類＞　いわし類　缶詰　水煮,20.7 ,10.6 ,5.8 
＜魚類＞　いわし類　缶詰　味付け,20.4 ,11.9 ,7.3 
＜魚類＞　いわし類　缶詰　トマト漬,17.5 ,10.8 ,2.5 
＜魚類＞　いわし類　缶詰　油漬,20.3 ,30.7 ,5.4 
＜魚類＞　いわし類　缶詰　かば焼,16.2 ,15.6 ,10.9 
＜魚類＞　いわし類　缶詰　アンチョビ,24.2 ,6.8 ,4.4 
＜魚類＞　いわな　養殖　生,19.0,3.6 ,0.9 
＜魚類＞　うぐい　生,20.1 ,1.5 ,4.0
＜魚類＞　うなぎ　養殖　生,17.1 ,19.3 ,6.2 
＜魚類＞　うなぎ　きも　生,13.0,5.3 ,4.7 
＜魚類＞　うなぎ　白焼き,20.7 ,25.8 ,3.3 
＜魚類＞　うなぎ　かば焼,23.0,21.0,4.7 
＜魚類＞　うまづらはぎ　生,18.2 ,0.3 ,3.2 
＜魚類＞　うまづらはぎ　味付け開き干し,58.9 ,1.6 ,10.9 
＜魚類＞　えい　生,19.1 ,0.3 ,0.3 
＜魚類＞　えそ　生,20.1 ,0.8 ,2.8 
＜魚類＞　おいかわ　生,19.2 ,5.8 ,4.5 
＜魚類＞　おおさが　生,16.3 ,8.0,4.3 
＜魚類＞　おこぜ　生,19.6 ,0.2 ,3.7 
＜魚類＞　おひょう　生,19.9 ,1.7 ,0.6 
＜魚類＞　かさご　生,19.3 ,1.1 ,2.1 
＜魚類＞　かじか　生,15.0,5.0,4.4 
＜魚類＞　かじか　水煮,15.8 ,5.8 ,4.7 
＜魚類＞　かじか　つくだ煮,29.4 ,5.5 ,35.7 
＜魚類＞　かじき類　くろかじき　生,22.9 ,0.2 ,4.5 
＜魚類＞　かじき類　まかじき　生,23.1 ,1.8 ,4.8 
＜魚類＞　かじき類　めかじき　生,19.2 ,7.6 ,4.7 
＜魚類＞　かじき類　めかじき　焼き,27.5 ,11.1 ,6.0
＜魚類＞　かつお類　かつお　春獲り　生,25.8 ,0.5 ,5.4 
＜魚類＞　かつお類　かつお　秋獲り　生,25.0,6.2 ,6.0
＜魚類＞　かつお類　そうだがつお　生,25.7 ,2.8 ,5.7 
＜魚類＞　かつお類　加工品　なまり,29.8 ,0.7 ,6.2 
＜魚類＞　かつお類　加工品　なまり節,38.0,1.1 ,8.0
＜魚類＞　かつお類　加工品　裸節,71.6 ,3.3 ,1.0
＜魚類＞　かつお類　加工品　かつお節,77.1 ,2.9 ,14.8 
＜魚類＞　かつお類　加工品　削り節,75.7 ,3.2 ,13.4 
＜魚類＞　かつお類　加工品　削り節つくだ煮,19.5 ,3.3 ,33.0
＜魚類＞　かつお類　加工品　角煮,31.0,1.6 ,21.9 
＜魚類＞　かつお類　加工品　塩辛,12.0,1.5 ,0.8 
＜魚類＞　かつお類　缶詰　味付け　フレーク,18.4 ,2.7 ,11.0
＜魚類＞　かつお類　缶詰　油漬　フレーク,18.8 ,24.2 ,4.4 
＜魚類＞　かます　生,18.9 ,7.2 ,4.3 
＜魚類＞　かます　焼き,23.3 ,4.9 ,5.5 
＜魚類＞　かれい類　まがれい　生,19.6 ,1.3 ,2.2 
＜魚類＞　かれい類　まがれい　水煮,21.4 ,1.1 ,3.3 
＜魚類＞　かれい類　まがれい　焼き,23.4 ,1.3 ,2.9 
＜魚類＞　かれい類　まこがれい　生,18.0,1.8 ,2.9 
＜魚類＞　かれい類　まこがれい　焼き,28.5 ,2.8 ,6.3 
＜魚類＞　かれい類　子持ちがれい　生,19.9 ,6.2 ,1.5 
＜魚類＞　かれい類　子持ちがれい　水煮,22.3 ,7.2 ,2.0
＜魚類＞　かれい類　干しかれい,20.2 ,3.4 ,0.9 
＜魚類＞　かわはぎ　生,18.8 ,0.4 ,2.3 
＜魚類＞　かんぱち　三枚おろし　生,21.0,4.2 ,4.4 
＜魚類＞　かんぱち　背側　生,22.2 ,1.2 ,2.9 
＜魚類＞　きす　生,18.5 ,0.2 ,1.7 
＜魚類＞　きす　天ぷら,18.4 ,15.2 ,10.7 
＜魚類＞　きちじ　生,13.6 ,21.7 ,3.6 
＜魚類＞　きびなご　生,18.8 ,1.4 ,4.0
＜魚類＞　きびなご　調味干し,47.9 ,7.4 ,4.3 
＜魚類＞　キャビア　塩蔵品,26.2 ,17.1 ,8.8 
＜魚類＞　キングクリップ　生,18.2 ,0.1 ,3.2 
＜魚類＞　ぎんだら　生,13.6 ,18.6 ,3.0
＜魚類＞　ぎんだら　水煮,14.9 ,23.8 ,1.8 
＜魚類＞　きんめだい　生,17.8 ,9.0,4.5 
＜魚類＞　ぐち　生,18.0,0.8 ,2.9 
＜魚類＞　ぐち　焼き,23.4 ,0.8 ,4.2 
＜魚類＞　こい　養殖　生,17.7 ,10.2 ,4.4 
＜魚類＞　こい　養殖　水煮,19.2 ,13.4 ,5.4 
＜魚類＞　こい　養殖　内臓　生,9.0,25.9 ,4.6 
＜魚類＞　こち類　まごち　生,22.5 ,0.5 ,4.3 
＜魚類＞　こち類　めごち　生,17.1 ,0.6 ,0
＜魚類＞　このしろ　生,19.0,8.3 ,5.0
＜魚類＞　このしろ　甘酢漬,19.1 ,10.1 ,12.0
＜魚類＞　さけ・ます類　からふとます　生,21.7 ,6.6 ,5.3 
＜魚類＞　さけ・ます類　からふとます　焼き,28.1 ,7.7 ,6.5 
＜魚類＞　さけ・ます類　からふとます　塩ます,20.9 ,7.4 ,5.5 
＜魚類＞　さけ・ます類　からふとます　水煮缶詰,20.7 ,7.2 ,4.3 
＜魚類＞　さけ・ます類　ぎんざけ　養殖　生,19.6 ,12.8 ,4.5 
＜魚類＞　さけ・ます類　ぎんざけ　養殖　焼き,25.2 ,15.8 ,6.2 
＜魚類＞　さけ・ます類　さくらます　生,20.9 ,7.7 ,5.3 
＜魚類＞　さけ・ます類　さくらます　焼き,28.4 ,12.0,7.9 
＜魚類＞　さけ・ます類　しろさけ　生,22.3 ,4.1 ,3.9 
＜魚類＞　さけ・ます類　しろさけ　水煮,25.5 ,4.7 ,5.2 
＜魚類＞　さけ・ます類　しろさけ　焼き,29.1 ,5.1 ,6.0
＜魚類＞　さけ・ます類　しろさけ　新巻き　生,22.8 ,6.1 ,5.8 
＜魚類＞　さけ・ます類　しろさけ　新巻き　焼き,29.3 ,7.9 ,7.7 
＜魚類＞　さけ・ます類　しろさけ　塩ざけ,22.4 ,11.1 ,4.4 
＜魚類＞　さけ・ます類　しろさけ　イクラ,32.6 ,15.6 ,7.9 
＜魚類＞　さけ・ます類　しろさけ　すじこ,30.5 ,17.4 ,8.4 
＜魚類＞　さけ・ます類　しろさけ　めふん,16.9 ,0.9 ,0.8 
＜魚類＞　さけ・ます類　しろさけ　水煮缶詰,21.2 ,8.5 ,4.4 
＜魚類＞　さけ・ます類　しろさけ　サケ節　削り節,77.4 ,3.4 ,14.1 
＜魚類＞　さけ・ます類　たいせいようさけ　養殖　皮つき　生,20.1 ,16.5 ,4.9 
＜魚類＞　さけ・ます類　たいせいようさけ　養殖　皮つき　水煮,22.5 ,18.4 ,2.8 
＜魚類＞　さけ・ます類　たいせいようさけ　養殖　皮つき　蒸し,23.8 ,15.8 ,3.1 
＜魚類＞　さけ・ます類　たいせいようさけ　養殖　皮つき　電子レンジ調理,22.9 ,15.4 ,3.5 
＜魚類＞　さけ・ます類　たいせいようさけ　養殖　皮つき　焼き,24.5 ,19.7 ,4.9 
＜魚類＞　さけ・ます類　たいせいようさけ　養殖　皮つき　ソテー,25.2 ,20.4 ,1.9 
＜魚類＞　さけ・ます類　たいせいようさけ　養殖　皮つき　天ぷら,21.0,20.1 ,8.5 
＜魚類＞　さけ・ます類　たいせいようさけ　養殖　皮なし　生,19.6 ,17.0,3.6 
＜魚類＞　さけ・ます類　たいせいようさけ　養殖　皮なし　水煮,22.7 ,17.9 ,4.0
＜魚類＞　さけ・ます類　たいせいようさけ　養殖　皮なし　蒸し,23.2 ,15.8 ,3.8 
＜魚類＞　さけ・ます類　たいせいようさけ　養殖　皮なし　電子レンジ調理,22.7 ,16.5 ,3.9 
＜魚類＞　さけ・ます類　たいせいようさけ　養殖　皮なし　焼き,23.9 ,15.7 ,4.2 
＜魚類＞　さけ・ます類　たいせいようさけ　養殖　皮なし　ソテー,25.8 ,21.0,2.8 
＜魚類＞　さけ・ます類　たいせいようさけ　養殖　皮なし　天ぷら,20.0,18.6 ,8.9 
＜魚類＞　さけ・ます類　にじます　海面養殖　皮つき　生,21.4 ,14.2 ,5.2 
＜魚類＞　さけ・ます類　にじます　海面養殖　皮なし　生,20.5 ,10.8 ,3.5 
＜魚類＞　さけ・ます類　にじます　海面養殖　皮つき　焼き,27.2 ,15.8 ,6.2 
＜魚類＞　さけ・ます類　にじます　淡水養殖　皮つき　生,19.7 ,4.6 ,4.5 
＜魚類＞　さけ・ます類　べにざけ　生,22.5 ,4.5 ,4.8 
＜魚類＞　さけ・ます類　べにざけ　焼き,28.5 ,6.0,6.2 
＜魚類＞　さけ・ます類　べにざけ　くん製,25.7 ,5.5 ,1.2 
＜魚類＞　さけ・ます類　ますのすけ　生,19.5 ,12.5 ,6.2 
＜魚類＞　さけ・ます類　ますのすけ　焼き,26.4 ,16.7 ,8.1 
＜魚類＞　さば類　まさば　生,20.6 ,16.8 ,6.2 
＜魚類＞　さば類　まさば　水煮,22.6 ,22.6 ,5.2 
＜魚類＞　さば類　まさば　焼き,25.2 ,22.4 ,6.1 
＜魚類＞　さば類　まさば　フライ,20.0,25.1 ,13.1 
＜魚類＞　さば類　ごまさば　生,23.0,5.1 ,4.5 
＜魚類＞　さば類　ごまさば　水煮,24.8 ,5.2 ,5.4 
＜魚類＞　さば類　ごまさば　焼き,31.1 ,6.6 ,7.4 
＜魚類＞　さば類　ごまさば　さば節,73.9 ,5.1 ,13.5 
＜魚類＞　さば類　たいせいようさば　生,17.2 ,26.8 ,5.6 
＜魚類＞　さば類　たいせいようさば　水煮,18.6 ,28.5 ,7.3 
＜魚類＞　さば類　たいせいようさば　焼き,21.8 ,29.3 ,9.6 
＜魚類＞　さば類　加工品　塩さば,26.2 ,19.1 ,6.3 
＜魚類＞　さば類　加工品　開き干し,18.7 ,28.5 ,8.3 
＜魚類＞　さば類　加工品　しめさば,18.6 ,26.9 ,9.1 
＜魚類＞　さば類　缶詰　水煮,20.9 ,10.7 ,5.2 
＜魚類＞　さば類　缶詰　みそ煮,16.3 ,13.9 ,8.0
＜魚類＞　さば類　缶詰　味付け,21.4 ,12.6 ,5.4 
＜魚類＞　さめ類　あぶらつのざめ　生,16.8 ,9.4 ,11.2 
＜魚類＞　さめ類　よしきりざめ　生,18.9 ,0.6 ,9.9 
＜魚類＞　さめ類　ふかひれ,83.9 ,1.6 ,43.4 
＜魚類＞　さより　生,19.6 ,1.3 ,3.8 
＜魚類＞　さわら　生,20.1 ,9.7 ,3.5 
＜魚類＞　さわら　焼き,23.6 ,10.8 ,4.6 
＜魚類＞　さんま　皮つき　生,18.1 ,25.6 ,4.4 
＜魚類＞　さんま　皮なし　生,17.8 ,25.0,4.7 
＜魚類＞　さんま　皮つき　焼き,23.3 ,22.8 ,6.5 
＜魚類＞　さんま　開き干し,19.3 ,19.0,5.5 
＜魚類＞　さんま　みりん干し,23.9 ,25.8 ,25.9 
＜魚類＞　さんま　缶詰　味付け,18.9 ,18.9 ,7.3 
＜魚類＞　さんま　缶詰　かば焼,17.4 ,13.0,11.0
＜魚類＞　しいら　生,21.3 ,1.9 ,4.1 
＜魚類＞　ししゃも類　ししゃも　生干し　生,21.0,8.1 ,4.9 
＜魚類＞　ししゃも類　ししゃも　生干し　焼き,24.3 ,7.8 ,5.7 
＜魚類＞　ししゃも類　からふとししゃも　生干し　生,15.6 ,11.6 ,5.2 
＜魚類＞　ししゃも類　からふとししゃも　生干し　焼き,18.2 ,11.3 ,5.8 
＜魚類＞　したびらめ　生,19.2 ,1.6 ,0.4 
＜魚類＞　しまあじ　養殖　生,21.9 ,8.0,1.5 
＜魚類＞　しらうお　生,13.6 ,2.0,3.1 
＜魚類＞　シルバー　生,18.6 ,7.9 ,4.7 
＜魚類＞　すずき　生,19.8 ,4.2 ,4.2 
＜魚類＞　たい類　きだい　生,18.6 ,3.1 ,4.0
＜魚類＞　たい類　くろだい　生,20.4 ,6.7 ,5.1 
＜魚類＞　たい類　ちだい　生,19.4 ,2.4 ,3.3 
＜魚類＞　たい類　まだい　天然　生,20.6 ,5.8 ,4.1 
＜魚類＞　たい類　まだい　養殖　皮つき　生,20.9 ,9.4 ,4.4 
＜魚類＞　たい類　まだい　養殖　皮つき　水煮,22.2 ,11.9 ,5.8 
＜魚類＞　たい類　まだい　養殖　皮つき　焼き,22.7 ,12.0,6.1 
＜魚類＞　たい類　まだい　養殖　皮なし　生,21.2 ,5.9 ,3.5 
＜魚類＞　たかさご　生,20.2 ,1.5 ,4.0
＜魚類＞　たかべ　生,18.7 ,9.0,4.9 
＜魚類＞　たちうお　生,16.5 ,20.9 ,5.1 
＜魚類＞　たら類　すけとうだら　生,17.4 ,1.0,2.6 
＜魚類＞　たら類　すけとうだら　フライ,19.2 ,11.9 ,9.1 
＜魚類＞　たら類　すけとうだら　すり身,17.5 ,0.2 ,10.2 
＜魚類＞　たら類　すけとうだら　すきみだら,40.5 ,0.3 ,8.4 
＜魚類＞　たら類　すけとうだら　たらこ　生,24.0,4.7 ,5.2 
＜魚類＞　たら類　すけとうだら　たらこ　焼き,28.3 ,6.1 ,7.0
＜魚類＞　たら類　すけとうだら　からしめんたいこ,21.0,3.3 ,4.0
＜魚類＞　たら類　まだら　生,17.6 ,0.2 ,3.5 
＜魚類＞　たら類　まだら　焼き,25.2 ,0.2 ,5.5 
＜魚類＞　たら類　まだら　しらこ　生,13.4 ,0.8 ,6.6 
＜魚類＞　たら類　まだら　塩だら,15.2 ,0.1 ,3.2 
＜魚類＞　たら類　まだら　干しだら,73.2 ,0.8 ,15.7 
＜魚類＞　たら類　加工品　でんぶ,25.5 ,1.1 ,47.3 
＜魚類＞　たら類　加工品　桜でんぶ,10.6 ,0.5 ,81.6 
＜魚類＞　ちか　生,19.5 ,0.6 ,3.6 
＜魚類＞　どじょう　生,16.1 ,1.2 ,3.2 
＜魚類＞　どじょう　水煮,17.1 ,1.2 ,3.8 
＜魚類＞　とびうお　生,21.0,0.7 ,3.3 
＜魚類＞　とびうお　煮干し,80.0,2.2 ,10.9 
＜魚類＞　とびうお　焼き干し,73.4 ,3.3 ,12.5 
＜魚類＞　ナイルティラピア　生,19.8 ,5.3 ,3.7 
＜魚類＞　なまず　生,18.4 ,8.6 ,1.3 
＜魚類＞　にぎす　生,18.7 ,1.2 ,3.7 
＜魚類＞　にしん　生,17.4 ,15.1 ,4.7 
＜魚類＞　にしん　身欠きにしん,20.9 ,16.7 ,5.8 
＜魚類＞　にしん　開き干し,18.5 ,19.7 ,5.9 
＜魚類＞　にしん　くん製,23.1 ,22.1 ,6.1 
＜魚類＞　にしん　かずのこ　生,25.2 ,6.7 ,1.7 
＜魚類＞　にしん　かずのこ　乾,65.2 ,13.6 ,0.8 
＜魚類＞　にしん　かずのこ　塩蔵　水戻し,15.0,3.0,1.0
＜魚類＞　はぜ　生,19.1 ,0.2 ,3.2 
＜魚類＞　はぜ　つくだ煮,24.3 ,3.0,41.3 
＜魚類＞　はぜ　甘露煮,21.1 ,2.2 ,41.4 
＜魚類＞　はたはた　生,14.1 ,5.7 ,2.6 
＜魚類＞　はたはた　生干し,16.7 ,10.3 ,3.0
＜魚類＞　はまふえふき　生,20.5 ,0.3 ,3.8 
＜魚類＞　はも　生,22.3 ,5.3 ,4.4 
＜魚類＞　ひらまさ　生,22.6 ,4.9 ,5.3 
＜魚類＞　ひらめ　天然　生,20.0,2.0,0.4 
＜魚類＞　ひらめ　養殖　皮つき　生,21.6 ,3.7 ,3.0
＜魚類＞　ひらめ　養殖　皮なし　生,21.2 ,2.5 ,3.4 
＜魚類＞　ふぐ類　とらふぐ　養殖　生,19.3 ,0.3 ,0.3 
＜魚類＞　ふぐ類　まふぐ　生,18.9 ,0.4 ,3.5 
＜魚類＞　ふな　生,18.2 ,2.5 ,3.4 
＜魚類＞　ふな　水煮,20.3 ,2.8 ,4.2 
＜魚類＞　ふな　甘露煮,15.5 ,3.6 ,45.6 
＜魚類＞　ふな　ふなずし,21.3 ,7.9 ,13.6 
＜魚類＞　ぶり　成魚　生,21.4 ,17.6 ,7.7 
＜魚類＞　ぶり　成魚　焼き,26.2 ,20.4 ,10.2 
＜魚類＞　ぶり　はまち　養殖　皮つき　生,20.7 ,17.2 ,6.2 
＜魚類＞　ぶり　はまち　養殖　皮なし　生,21.0,12.0,5.0
＜魚類＞　ほうぼう　生,19.6 ,4.2 ,4.6 
＜魚類＞　ホキ　生,17.0,1.3 ,3.3 
＜魚類＞　ほっけ　生,17.3 ,4.4 ,3.1 
＜魚類＞　ほっけ　塩ほっけ,18.1 ,4.9 ,3.2 
＜魚類＞　ほっけ　開き干し　生,20.6 ,9.4 ,3.7 
＜魚類＞　ほっけ　開き干し　焼き,23.1 ,10.9 ,4.0
＜魚類＞　ぼら　生,19.2 ,5.0,4.5 
＜魚類＞　ぼら　からすみ,40.4 ,28.9 ,14.3 
＜魚類＞　ほんもろこ　生,17.5 ,4.1 ,1.0
＜魚類＞　まぐろ類　きはだ　生,24.3 ,1.0,3.4 
＜魚類＞　まぐろ類　くろまぐろ　天然　赤身　生,26.4 ,1.4 ,4.9 
＜魚類＞　まぐろ類　くろまぐろ　天然　脂身　生,20.1 ,27.5 ,7.5 
＜魚類＞　まぐろ類　くろまぐろ　養殖　赤身　生,24.8 ,7.6 ,2.8 
＜魚類＞　まぐろ類　くろまぐろ　養殖　赤身　水煮,27.2 ,8.3 ,5.4 
＜魚類＞　まぐろ類　くろまぐろ　養殖　赤身　蒸し,28.0,9.9 ,5.8 
＜魚類＞　まぐろ類　くろまぐろ　養殖　赤身　電子レンジ調理,30.4 ,8.7 ,6.6 
＜魚類＞　まぐろ類　くろまぐろ　養殖　赤身　焼き,29.0,10.6 ,5.8 
＜魚類＞　まぐろ類　くろまぐろ　養殖　赤身　ソテー,28.0,10.2 ,4.7 
＜魚類＞　まぐろ類　くろまぐろ　養殖　赤身　天ぷら,25.1 ,12.6 ,8.6 
＜魚類＞　まぐろ類　びんなが　生,26.0,0.7 ,4.7 
＜魚類＞　まぐろ類　みなみまぐろ　赤身　生,21.6 ,0.4 ,4.7 
＜魚類＞　まぐろ類　みなみまぐろ　脂身　生,20.3 ,28.3 ,6.6 
＜魚類＞　まぐろ類　めじまぐろ　生,25.2 ,4.8 ,5.8 
＜魚類＞　まぐろ類 めばち　赤身　生,25.4 ,2.3 ,3.0
＜魚類＞　まぐろ類 めばち　脂身　生,23.9 ,7.5 ,4.2 
＜魚類＞　まぐろ類　缶詰　水煮　フレーク　ライト,16.0,0.7 ,3.4 
＜魚類＞　まぐろ類　缶詰　水煮　フレーク　ホワイト,18.3 ,2.5 ,4.1 
＜魚類＞　まぐろ類　缶詰　味付け　フレーク,19.0,2.3 ,10.4 
＜魚類＞　まぐろ類　缶詰　油漬　フレーク　ライト,17.7 ,21.7 ,3.8 
＜魚類＞　まぐろ類　缶詰　油漬　フレーク　ホワイト,18.8 ,23.6 ,5.4 
＜魚類＞　マジェランあいなめ　生,13.3 ,22.9 ,5.7 
＜魚類＞　まながつお　生,17.1 ,10.9 ,1.2 
＜魚類＞　みなみくろたち　生,21.7 ,3.0,4.3 
＜魚類＞　みなみだら　生,16.4 ,0.3 ,2.9 
＜魚類＞　むつ　生,16.7 ,12.6 ,3.2 
＜魚類＞　むつ　水煮,22.2 ,8.4 ,4.1 
＜魚類＞　めじな　生,19.4 ,4.5 ,4.5 
＜魚類＞　めばる　生,18.1 ,3.5 ,3.2 
＜魚類＞　メルルーサ　生,17.0,0.6 ,2.5 
＜魚類＞　やつめうなぎ　生,15.8 ,21.8 ,3.2 
＜魚類＞　やつめうなぎ　干しやつめ,50.3 ,31.2 ,7.4 
＜魚類＞　やまめ　養殖　生,18.4 ,4.3 ,0.9 
＜魚類＞　わかさぎ　生,14.4 ,1.7 ,3.1 
＜魚類＞　わかさぎ　つくだ煮,28.7 ,5.5 ,40.1 
＜魚類＞　わかさぎ　あめ煮,26.3 ,5.1 ,42.7 
＜貝類＞　あかがい　生,13.5 ,0.3 ,6.6 
＜貝類＞　あげまき　生,8.1 ,0.6 ,4.5 
＜貝類＞　あさり　生,6.0,0.3 ,2.0
＜貝類＞　あさり　つくだ煮,20.8 ,2.4 ,36.2 
＜貝類＞　あさり　缶詰　水煮,20.3 ,2.2 ,7.8 
＜貝類＞　あさり　缶詰　味付け,16.6 ,1.9 ,16.3 
＜貝類＞　あわび　くろあわび　生,14.3 ,0.8 ,7.2 
＜貝類＞　あわび　まだかあわび　生,14.6 ,0.4 ,6.8 
＜貝類＞　あわび　めがいあわび　生,12.2 ,0.3 ,9.4 
＜貝類＞　あわび　干し,38.0,1.6 ,35.8 
＜貝類＞　あわび　塩辛,14.8 ,3.9 ,7.0
＜貝類＞　あわび　水煮缶詰,19.4 ,0.4 ,6.8 
＜貝類＞　いがい　生,10.3 ,1.6 ,6.6 
＜貝類＞　いたやがい　養殖　生,10.8 ,0.8 ,4.9 
＜貝類＞　エスカルゴ　水煮缶詰,16.5 ,1.0,6.0
＜貝類＞　かき　養殖　生,6.9 ,2.2 ,6.7 
＜貝類＞　かき　養殖　水煮,9.9 ,3.6 ,10.1 
＜貝類＞　かき　養殖　フライ,7.6 ,11.1 ,36.0
＜貝類＞　かき　くん製油漬缶詰,12.5 ,22.6 ,12.1 
＜貝類＞　さざえ　生,19.4 ,0.4 ,6.3 
＜貝類＞　さざえ　焼き,21.3 ,0.4 ,7.2 
＜貝類＞　さるぼう　味付け缶詰,15.9 ,2.2 ,13.8 
＜貝類＞　しじみ　生,7.5 ,1.4 ,6.4 
＜貝類＞　しじみ　水煮,15.4 ,2.7 ,8.7 
＜貝類＞　たいらがい　貝柱　生,21.8 ,0.2 ,7.7 
＜貝類＞　たにし　生,13.0,1.1 ,7.9 
＜貝類＞　つぶ　生,17.8 ,0.2 ,6.6 
＜貝類＞　とこぶし　生,16.0,0.4 ,7.7 
＜貝類＞　とりがい　斧足　生,12.9 ,0.3 ,9.9 
＜貝類＞　ばい　生,16.3 ,0.6 ,7.9 
＜貝類＞　ばかがい　生,10.9 ,0.5 ,5.1 
＜貝類＞　はまぐり類　はまぐり　生,6.1 ,0.6 ,3.7 
＜貝類＞　はまぐり類　はまぐり　水煮,14.9 ,1.5 ,7.8 
＜貝類＞　はまぐり類　はまぐり　焼き,13.3 ,1.0,7.2 
＜貝類＞　はまぐり類　はまぐり　つくだ煮,27.0,2.8 ,23.0
＜貝類＞　はまぐり類　ちょうせんはまぐり　生,6.5 ,1.0,4.4 
＜貝類＞　ほたてがい　生,13.5 ,0.9 ,5.5 
＜貝類＞　ほたてがい　水煮,17.6 ,1.9 ,7.9 
＜貝類＞　ほたてがい　貝柱　生,16.9 ,0.3 ,7.9 
＜貝類＞　ほたてがい　貝柱　焼き,23.8 ,0.3 ,12.4 
＜貝類＞　ほたてがい　貝柱　煮干し,65.7 ,1.4 ,27.3 
＜貝類＞　ほたてがい　貝柱　水煮缶詰,19.5 ,0.6 ,7.5 
＜貝類＞　ほっきがい　生,11.1 ,1.1 ,7.7 
＜貝類＞　みるがい　水管　生,18.3 ,0.4 ,5.6 
＜えび・かに類＞　えび類　あまえび　生,19.8 ,1.5 ,4.2 
＜えび・かに類＞　えび類　いせえび　生,20.9 ,0.4 ,3.7 
＜えび・かに類＞　えび類　くるまえび　養殖　生,21.6 ,0.6 ,3.7 
＜えび・かに類＞　えび類　くるまえび　養殖　ゆで,28.2 ,0.5 ,5.1 
